[2019-12-27 13:58:32] slim-app.INFO: llego POST '/Logout' route [] {"uid":"c6f13bb"}
[2019-12-27 13:59:56] slim-app.INFO: llego POST '/Logout' route [] {"uid":"1f63322"}
[2019-12-27 14:00:28] slim-app.INFO: llego POST '/Logout' route [] {"uid":"5a03fcf"}
[2019-12-27 14:00:39] slim-app.INFO: llego POST '/Logout' route [] {"uid":"b0877c1"}
[2019-12-27 14:01:07] slim-app.INFO: llego POST '/Logout' route [] {"uid":"558a173"}
[2019-12-27 14:01:10] slim-app.INFO: llego POST '/Logout' route [] {"uid":"64d4f19"}
[2019-12-27 14:02:10] slim-app.INFO: llego POST '/Logout' route [] {"uid":"af62d27"}
[2019-12-27 14:03:12] slim-app.INFO: llego POST '/Logout' route [] {"uid":"3776754"}
[2019-12-27 14:03:25] slim-app.INFO: llego POST '/Login' route [] {"uid":"b5e082a"}
[2019-12-27 14:03:30] slim-app.INFO: llego POST '/Logout' route [] {"uid":"c117233"}
[2019-12-27 14:04:27] slim-app.INFO: llego POST '/Login' route [] {"uid":"2cac25e"}
[2019-12-27 14:04:30] slim-app.INFO: llego POST '/Logout' route [] {"uid":"d3bbcc1"}
[2019-12-27 14:05:14] slim-app.INFO: llego POST '/Login' route [] {"uid":"37c3023"}
[2019-12-27 14:05:19] slim-app.INFO: llego POST '/Logout' route [] {"uid":"9140313"}
[2019-12-27 14:05:33] slim-app.INFO: llego POST '/Login' route [] {"uid":"38a3684"}
[2019-12-27 14:05:35] slim-app.INFO: llego POST '/Logout' route [] {"uid":"121afba"}
[2019-12-27 14:05:56] slim-app.INFO: llego POST '/Login' route [] {"uid":"f5b190e"}
[2019-12-27 14:06:00] slim-app.INFO: llego POST '/Logout' route [] {"uid":"d0e7aca"}
[2019-12-27 14:06:19] slim-app.INFO: llego POST '/Login' route [] {"uid":"34452d5"}
[2019-12-27 14:06:22] slim-app.INFO: llego POST '/Logout' route [] {"uid":"2965fa8"}
[2019-12-27 14:08:43] slim-app.INFO: llego POST '/Login' route [] {"uid":"3c9ed42"}
[2019-12-27 14:08:46] slim-app.INFO: llego POST '/Logout' route [] {"uid":"ea310b8"}
[2019-12-27 14:11:18] slim-app.INFO: llego POST '/Login' route [] {"uid":"7e90f6d"}
[2019-12-27 14:15:00] slim-app.INFO: llego POST '/Menus' route [] {"uid":"d4b477a"}
[2019-12-27 14:38:12] slim-app.INFO: llego POST '/Menus' route [] {"uid":"8b19c32"}
[2019-12-27 14:39:26] slim-app.INFO: llego POST '/Menus' route [] {"uid":"71f0857"}
[2019-12-27 14:40:25] slim-app.INFO: llego POST '/Menus' route [] {"uid":"bd2c8b2"}
[2019-12-27 14:41:51] slim-app.INFO: llego POST '/Menus' route [] {"uid":"5446224"}
[2019-12-27 14:42:00] slim-app.INFO: llego POST '/Menus' route [] {"uid":"370042d"}
